internalName,type,type
AncientPhantasmalHeadgear,Ghost,
AncientPhantasmalRobe,Ghost,
AncientPhantasmalSubligar,Ghost,
PhantasmalHeadgear,Ghost,
PhantasmalRobe,Ghost,
PhantasmalSubligar,Ghost,
AncientDragonBreastplate,Dragon,
AncientDragonGreaves,Dragon,
AncientDragonMask,Dragon,
DragonBreastplate,Dragon,
DragonGreaves,Dragon,
DragonMask,Dragon,
OstaraBoots,Flying,
OstaraHat,Flying,
OstaraJacket,Flying,
AncientTitanHelmet,Steel,
AncientTitanLeggings,Steel,
AncientTitanMail,Steel,
TitanHelmet,Steel,
TitanLeggings,Steel,
TitanMail,Steel,
AncientWarlockHood,Dark,
AncientWarlockLeggings,Dark,
AncientWarlockRobe,Dark,
WarlockHood,Dark,
WarlockLeggings,Dark,
WarlockRobe,Dark,
